UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,LAT_DD83,LON_DD83,XCOORD,YCOORD,AG_ECO3_NM,AG_ECO9_NM,MISS_BASIN_NM,MAJ_BAS_NM,FS_EW,EPA_REG,STRAH_CAT,NARS_OWN,NRS13_EVAL,NRS13_MDC,NRS13_PNL,NRS13_SF,NRS13_STRA,NRS13_TNT,NRS13_URBN,NRS13_VST,WGT_EXT_SP,ANC_COND,ANC,DOC,PH,SAL_COND,COND,NTL_COND,NTL_UG_L,PTL_COND,PTL,BENT_MMI_COND,MMI_BENT,OE_SCORE,OE_COND,INSTRMCVR_COND,L_XFC_NAT,BEDSED_COND,LRBS_USE,RIPDIST_COND,W1_HALL,RIPVEG_COND,L_XCMGW,FISH_MMI_COND,MMI_FISH,ENT_1X_CCE_100ML,ENT_1X_STV_COND,MICX_COND,MICX_RESULT,MICX_MDL,MICX_RL,MICX_FLAG,HG_COND,MERCURY_RESULT,MERCURY_MDL,MERCURY_RL,MERCURY_FLAG,MERCURY_DATA_FLAG,MERCURY_COMMENT,PUBLICATION_DATE
1002264,WIS9-0931,2013,1,7/1/2013,43.45535,-89.2491,543360.8,686072.5,Plains and Lowlands,Temporate Plains,Upper Mississippi Region,Upper Mississippi Region,,Region_5,SmallStreams,Private,Target_Sampled,WI_Streams_WI_1st,Base_09Stream,Include,WI,Target,NonUrban,1,4072.186508,None,3536.814,12,8.16,Fair,1180,Poor,9880,Poor,770,Poor,7.72,0.41607831,OE<0.5,Good,-0.269805204,Good,-0.794603756,High,1.6364,Good,0.018265381,Poor,45.86,628.1415851,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002265,WISS-1162,2013,1,7/2/2013,42.85481,-90.52929,444307.7,612487.2,Plains and Lowlands,Upper Midwest,Upper Mississippi Region,Upper Mississippi Region,,Region_5,SmallStreams,Private,Target_Sampled,WI_SmallStreams_UMW,Base_NewSmallStreams,Include,WI,Target,NonUrban,1,1662.0969,Not Assessed,,1.6,,Good,457,Poor,5020,Poor,69.3,Fair,28.92,0.653994451,O/E<0.8,Good,-0.322475999,Good,-0.926802809,Low,0,Good,0.056731653,Good,45.39,1416.903649,Above Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,39.8,2.57,14.2,,OW_1,Reason for setting as Not Assessed: Exclude - non-target species and does not meet length criterion,4/29/2019
1002266,MIS9-0930,2013,1,7/9/2013,42.80947,-86.17005,797887.1,635931.4,Plains and Lowlands,Upper Midwest,,Great Lakes Region,,Region_5,SmallStreams,Private,Target_Sampled,MI_Streams_MI_1st,Base_09Stream,Include,MI,Target,Urban,1,1393.056485,None,3703.51,7.34,7.97,Fair,506,Fair,713,Fair,49,Poor,4.2,0.9247094,O/E>=0.9,Good,-0.717110229,Fair,-1.544855713,High,2.825818182,Good,-0.068380351,Poor,13.97,2827.475483,Above Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,75.8,1.96,10.9,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002267,LASS-1050,2013,1,7/8/2013,30.7948,-91.20539,457470.3,-737592.2,Plains and Lowlands,Coastal Plains,Lower Mississippi Region,Lower Mississippi Region,,Region_6,SmallStreams,Private,Target_Sampled,LA_SmallStreams_CPL,Base_NewSmallStreams,Include,LA,Target,NonUrban,1,9129.86657,None,253.95,0.52,7.08,Good,71.8,Good,549,Fair,56,Poor,40.58,0.742561205,O/E<0.8,Good,-0.177475308,Good,-1.870356898,Low,0.212127273,Fair,-0.058669297,Good,59.33,1926.16517,Above Human Health Threshold,<= 8 ug/L,0.14,,0.15,L,Not Assessed,307,1.7,9.4,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002268,NDS9-0940,2013,1,7/9/2013,47.04646,-101.1047,-389574,1076511,Plains and Lowlands,Northern Plains,Upper Missouri Region,Missouri Region,,Region_8,LargeStreams,Private,Target_Sampled,ND_Streams_ND_4th,Base_09Stream,Include,ND,Target,NonUrban,1,70.54558945,None,7149.35,14.59,8.44,Fair,1883,Poor,1256,Poor,135,Good,67.12,0.632541624,O/E<0.8,Good,-0.257132103,Good,-0.922282739,Moderate,1.136404545,Good,-0.628932138,Fair,41.7,533.7523635,Below Human Health Threshold,<= 8 ug/L,0.248,,,,Does Not Exceed 300 ng Hg/g ww,280,1.87,10.4,,,,4/29/2019
1002270,OKRM-1002,2013,1,7/9/2013,35.96767,-97.12551,-100593,-171073.4,Plains and Lowlands,Southern Plains,Arkansas-White-Red Region,Arkansas-White-Red Region,,Region_6,RiversMajor,Private,Target_Sampled,OK_RiversMajor_WPT,Base_NewRiversMajor,Include,OK,Target,NonUrban,1,127.6063821,None,3454.21,4.9,8.66,Poor,5650,Poor,1104,Poor,218,Poor,10.17,0.262867487,OE<0.5,Good,-0.976934698,Fair,-1.534471591,Moderate,0.431836364,Good,-0.159295252,Poor,38.1,347.235551,Below Human Health Threshold,<= 8 ug/L,0.181,,,,Does Not Exceed 300 ng Hg/g ww,56.1,1.9,10.5,,,,4/29/2019
1002271,AZSS-1106,2013,1,7/9/2013,33.89019,-109.472,-1232900,-316545.5,West,Western Mountains,,Lower Colorado Region,West,Region_9,SmallStreams,USFS,Target_Sampled,AZ_SmallStreams_WMT,Base_NewSmallStreams,Include,AZ,Target,NonUrban,1,5.786235186,None,1185.2,5.32,7.58,Good,126.2,Poor,666,Poor,244,Poor,4.87,0.354340258,OE<0.5,Poor,-0.729638825,Fair,-1.146354403,High,2.484868182,Poor,-1.293204657,Poor,61.05,102.3010353,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002272,NES9-0932,2013,1,7/8/2013,42.79716,-100.0455,-328916.3,600255.8,Plains and Lowlands,Northern Plains,Upper Missouri Region,Missouri Region,,Region_7,LargeStreams,Private,Target_Sampled,NE_Streams_NE_3rd,Base_09Stream,Include,NE,Target,NonUrban,1,162.4248936,None,4955.536,5.34,,Good,468,Fair,730,Poor,390,Fair,52.73,1.071144526,O/E>=0.9,Good,-0.157163916,Good,-2.161276727,High,1.5,Fair,-0.641718964,Fair,45.85,2158.983008,Above Human Health Threshold,<= 8 ug/L,0.132,,0.15,L,Not Assessed,223,3.42,18.9,,OW_1,Reason for setting as Not Assessed: Exclude - non-target species,4/29/2019
1002273,NES9-0921,2013,1,7/9/2013,42.8028,-100.5568,-370425.8,602765.6,Plains and Lowlands,Northern Plains,Upper Missouri Region,Missouri Region,,Region_7,SmallStreams,Private,Target_Sampled,NE_Streams_NE_4th,Base_09Stream_RVT,Include,NE,Target,NonUrban,2,47.80284957,None,1624.5366,0.74,,Good,172,Fair,820,Fair,70,Good,79.28,1.304623941,O/E>=0.9,Good,-0.299650343,Fair,-2.127985578,Low,0,Good,-0.056977898,Fair,40.08,2092.098732,Above Human Health Threshold,<= 8 ug/L,0.192,,,,Does Not Exceed 300 ng Hg/g ww,103,3.64,20.2,,,,4/29/2019
1002274,MTR9-0913,2013,1,7/9/2013,47.01519,-108.165,-926746.2,1121982,Plains and Lowlands,Northern Plains,Upper Missouri Region,Missouri Region,,Region_8,RiversOther,Private,Target_Sampled,MT_Rivers_MT_5th,Base_09River,Include,MT,Target,NonUrban,1,197.0870851,None,5565.65,7.96,8.38,Poor,3560,Fair,733,Fair,84,Poor,36.37,0.931213988,O/E>=0.9,Fair,-1.22184875,Fair,-1.712148358,High,1.537909091,Poor,-1.455931956,Not Assessed,,165.2859872,Below Human Health Threshold,<= 8 ug/L,0.309,,,,Not Assessed,,,,,,,4/29/2019
1002275,VTS9-0910,2013,1,7/9/2013,43.04999,-72.72147,1867479,851371.8,Eastern Highlands,Northern Appalachians,,New England Region,,Region_1,SmallStreams,Private,Target_Sampled,VT_Streams_CMMRV_1,Base_09Stream,Include,VT,Target,NonUrban,1,1161.145937,None,209.66,1.38,7.21,Good,37.5,Good,141,Fair,21,Good,63.8,1.027296723,O/E>=0.9,Fair,-0.555671259,Poor,-1.319996739,Moderate,1.075795455,Fair,-0.076544021,Good,69.49,595.5566296,Below Human Health Threshold,<= 8 ug/L,0.161,,,,Not Assessed,26.6,1.81,10,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002277,MNRM-1003,2013,1,7/8/2013,44.56766,-92.48587,278430,795949.1,Plains and Lowlands,Upper Midwest,Upper Mississippi Region,Upper Mississippi Region,,Region_5,RiversMajor,Private,Target_Sampled,MN_RiversMajor_UMW,Base_NewRiversMajor,Include,MN,Target,Urban,1,82.91321274,None,3327.18,10.38,8.16,Fair,524,Poor,4675,Poor,245,Good,45.7,0.843786664,O/E<0.9,Good,-0.382427842,Fair,-1.449789531,Moderate,0.650808874,Good,0.157539185,Poor,12.33,225.1225709,Below Human Health Threshold,<= 8 ug/L,0.242,,,,Exceeds 300 ng Hg/g ww,584,3.25,18,,,,4/29/2019
1002278,TXR9-0915,2013,1,7/9/2013,31.76248,-100.1405,-390410.3,-632957.4,Plains and Lowlands,Southern Plains,,Rio Grande-Texas-Gulf Region,,Region_6,RiversMajor,Private,Target_Sampled,TX_Rivers_TX_6th,Base_09River,Include,TX,Target,NonUrban,1,234.6291714,None,2429.2,5.59,8.01,Fair,1466,Fair,824,Fair,77,Fair,31.38,0.495423199,OE<0.5,Good,-0.717110229,Good,1.022999294,Moderate,0.636395455,Good,-0.198783445,Poor,22.91,65.03111808,Below Human Health Threshold,<= 8 ug/L,0.124,,0.15,L,Not Assessed,389,2.17,12,H,LAB_1,This sample was analyzed outside of the recommended holding time.; Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002279,OKRM-1008,2013,1,7/8/2013,34.22702,-95.49317,46338.08,-366311.2,Eastern Highlands,Southern Appalachians,Arkansas-White-Red Region,Arkansas-White-Red Region,,Region_6,RiversMajor,State,Target_Sampled,OK_RiversMajor_TF,Base_NewRiversMajor,Include,OK,Target,NonUrban,1,86.62657401,None,353.67,4.73,7.45,Good,61.4,Poor,461,Poor,73,Poor,7.17,0.189266378,OE<0.5,Good,-0.907853776,Good,0.75386586,Low,0,Good,0.171726454,Poor,21.97,38.97518475,Below Human Health Threshold,<= 8 ug/L,0.178,,,,Exceeds 300 ng Hg/g ww,510,1.73,9.58,,,,4/29/2019
1002280,ARR9-0904,2013,1,7/9/2013,35.67817479,-93.74408948,202377.847,-201681.054,Eastern Highlands,Southern Appalachians,Arkansas-White-Red Region,Arkansas-White-Red Region,East,Region_6,RiversOther,USFS,Target_Sampled,AR_Rivers_AR_5th,Base_09River,Include,AR,Target,NonUrban,1,132.704511,None,238,2.5793,,Good,35.7,Good,135,Good,10,Fair,33.87,0.811565004,O/E<0.9,Poor,-1.550030994,Good,0.596655824,Moderate,0.590936364,Good,0.264710524,Fair,57.81,3053.666301,Above Human Health Threshold,<= 8 ug/L,0.113,,0.15,L,Not Assessed,212,2.19,12.1,H,LAB_1,This sample was analyzed outside of the recommended holding time.; Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002281,CAS9-0914,2013,1,7/9/2013,36.96370513,-119.2314147,-2028741.277,189114.178,West,Xeric,,California Region,West,Region_9,LargeStreams,USFS,Target_Sampled,CA_Streams_CA_3rd,Base_09Stream_RVT,Include,CA,Target,NonUrban,2,307.5436024,None,970,2.05,7.97,Good,151,Good,177,Good,25.2,Poor,19.07,0.230880566,OE<0.5,Good,-0.483885483,Good,-0.654983535,Low,0,Good,0.097225749,Fair,74.46,407.5921914,Below Human Health Threshold,<= 8 ug/L,0.149,,0.15,L,Exceeds 300 ng Hg/g ww,906,1.73,9.58,,,,4/29/2019
1002282,KSR9-0901,2013,1,7/9/2013,39.87204,-95.02724,82462.75,266275.4,Plains and Lowlands,Temporate Plains,Lower Missouri Region,Missouri Region,,Region_7,RiversMajor,Private,Target_Sampled,KS_Rivers_KS_7th+,Base_09River_RVT,Include,KS,Target,NonUrban,2,134.726115,None,3787,3.69,8.34,Good,768,Poor,3394,Poor,319,Good,54.67,0.555998305,O/E<0.8,Good,-0.54515514,Not Assessed,,Moderate,1.242454545,Fair,-0.266146425,Poor,14.4,300.6237437,Below Human Health Threshold,<= 8 ug/L,0.117,,0.15,L,Does Not Exceed 300 ng Hg/g ww,273,3.15,17.4,,,,4/29/2019
1002284,SDSS-1188,2013,1,7/9/2013,43.82918,-103.4591,-596975.6,731921.1,West,Western Mountains,Upper Missouri Region,Missouri Region,West,Region_8,SmallStreams,USFS,Target_Sampled,SD_SmallStreams_WMT,Base_NewSmallStreams,Include,SD,Target,NonUrban,1,176.4293093,None,855.32,2.57,7.09,Good,111.8,Fair,205,Poor,87,Poor,17.2,0.762440328,O/E<0.8,Poor,-0.783714109,Good,-0.710320237,Moderate,0.575781818,Poor,-0.279089322,Poor,63.25,281.5339427,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002286,COS9-0923,2013,1,7/9/2013,40.15970306,-105.1184267,-768727.578,334992.761,Plains and Lowlands,Southern Plains,Lower Missouri Region,Missouri Region,,Region_8,LargeStreams,Local Government,Target_Sampled,CO_Streams_CO_4th,Base_09Stream,Include,CO,Target,Urban,1,88.71284379,None,1941.56,4.17,8.32,Good,374,Good,516,Fair,68,Good,68.28,1.010490444,O/E>=0.9,Fair,-0.738196627,Good,-0.606363378,High,4.644018182,Good,-0.136406804,Fair,40.35,2894.517901,Above Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,32.1,2.07,11.5,,OW_1,Reason for setting as Not Assessed: Exclude - unknown length,4/29/2019
1002287,AZS9-0929,2013,1,7/10/2013,33.67588001,-109.0840924,-1200914.581,-345223.936,West,Western Mountains,,Lower Colorado Region,West,Region_9,LargeStreams,USFS,Target_Sampled,AZ_Streams_AZ_4th,Base_09Stream_RVT,Include,AZ,Target,NonUrban,1,161.7730481,None,3252.79,2.09,8.44,Good,317,Fair,221,Poor,300,Poor,27.15,1.289979698,O/E>=0.9,Good,-0.373006768,Poor,-1.439934573,Moderate,0.33335,Good,-0.051387006,Fair,67.98,469.0368362,Below Human Health Threshold,<= 8 ug/L,0.126,,0.15,L,Not Assessed,,,,,,,4/29/2019
1002288,NDLS-1059,2013,1,7/10/2013,46.24855,-101.5315,-427249.6,990089,Plains and Lowlands,Northern Plains,Upper Missouri Region,Missouri Region,,Region_8,LargeStreams,Private,Target_Sampled,ND_LargeStreams_NPL,Base_NewLargeStreams,Include,ND,Target,NonUrban,1,95.81618452,None,9291.77,16.99,8.12,Poor,2920,Poor,1319,Poor,127,Fair,46.08,1.026300965,O/E>=0.9,Good,-0.30819542,Fair,-2.451353389,Moderate,1.265172727,Good,-0.730168774,Poor,29.42,191.435551,Below Human Health Threshold,<= 8 ug/L,0.117,,0.15,L,Not Assessed,,,,,,,4/29/2019
1002289,NJRM-1001,2013,1,7/10/2013,40.84438,-73.95545,1827039,587640.2,Eastern Highlands,Northern Appalachians,,Mid-Atlantic Region,,Region_2,RiversMajor,Private,Target_Sampled,NJ_RiversMajor_NAP,Base_NewRiversMajor,Include,NJ,Target,Urban,1,48.76029869,None,1344.46,3.21,7.93,Poor,4780,Poor,830,Poor,86,Poor,6.6,0.216215391,OE<0.5,Poor,-0.446447948,Not Assessed,,High,4.674336364,Poor,-0.360377701,Poor,0,151.8116935,Below Human Health Threshold,<= 8 ug/L,0.154,,,,Not Assessed,131,1.75,9.69,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002290,NVRO-1027,2013,1,7/8/2013,41.52683,-117.4287,-1759792,650431,West,Xeric,,Great Basin Region,,Region_9,RiversOther,Private,Target_Sampled,NV_RiversOther_XER,Base_NewRiversOther,Include,NV,Target,NonUrban,1,47.05715974,None,1600.01,1.1,8.5,Good,254,Poor,845,Poor,187,Good,65.43,1.033970392,O/E>=0.9,Poor,-0.958607315,Good,-0.407803031,Moderate,1.189422727,Good,-0.33939321,Poor,55.06,2662.110107,Above Human Health Threshold,<= 8 ug/L,0.112,,0.15,L,Not Assessed,,,,,,,4/29/2019
1002291,NVR9-0910,2013,1,7/10/2013,39.08216,-119.7573,-2014978,430514,West,Xeric,,Great Basin Region,,Region_9,LargeStreams,Private,Target_Sampled,NV_Rivers_NV_5th,Base_09River,Include,NV,Target,NonUrban,2,195.8103422,None,2954.64,5.42,8.23,Good,389,Fair,511,Poor,329,Poor,41.65,0.474588512,OE<0.5,Poor,-1.082351291,Fair,-0.981821784,Moderate,1.121227273,Good,0.036792161,Poor,54.39,360.2823657,Below Human Health Threshold,<= 8 ug/L,0.101,,0.15,L,Not Assessed,,,,,,,4/29/2019
1002292,GAS9-0924,2013,1,7/10/2013,33.91141432,-84.31220042,1070214.205,-335815.379,Eastern Highlands,Southern Appalachians,,South-Atlantic Region,,Region_4,LargeStreams,Private,Target_Sampled,GA_Streams_GA_3rd,Base_09Stream,Include,GA,Target,Urban,1,399.3291388,None,817.91,2.39,7.24,Good,123,Poor,920,Poor,88,Poor,21.32,0.61806069,O/E<0.8,Good,-0.211445989,Good,1.176918656,High,2.189440909,Good,0.015892959,Poor,44.36,9030.467324,Above Human Health Threshold,<= 8 ug/L,0.116,,0.15,L,Does Not Exceed 300 ng Hg/g ww,178,1.71,9.47,,,,4/29/2019
1002293,NES9-0927,2013,1,7/10/2013,42.89817,-100.4854,-364121.3,613134.6,Plains and Lowlands,Northern Plains,Upper Missouri Region,Missouri Region,,Region_7,LargeStreams,Other Fed,Target_Sampled,NE_Streams_NE_4th,Base_09Stream,Include,NE,Target,NonUrban,1,52.58584507,None,3137.174,11.2,,Good,311,Fair,800,Poor,110,Good,72.05,0.871464802,O/E<0.9,Fair,-1.082351291,Good,0.457635405,Low,0.090913636,Good,-0.434205828,Fair,44.46,1109.464109,Below Human Health Threshold,<= 8 ug/L,0.135,,0.15,L,Does Not Exceed 300 ng Hg/g ww,36.7,1.68,9.33,,,,4/29/2019
1002294,NYLS-1125,2013,1,7/10/2013,42.19853,-77.4111,1515190,674995,Eastern Highlands,Northern Appalachians,,Mid-Atlantic Region,,Region_2,LargeStreams,Private,Target_Sampled,NY_LargeStreams_NAP,Base_NewLargeStreams,Include,NY,Target,NonUrban,1,470.5254169,None,2459.86,2.7,8.21,Good,428,Poor,723,Poor,59,Good,65.67,1.03314861,O/E>=0.9,Poor,-0.944482671,Good,0.802990864,Moderate,0.621222727,Good,0.051064777,Poor,19.84,812.5428746,Below Human Health Threshold,<= 8 ug/L,0.111,,0.15,L,Does Not Exceed 300 ng Hg/g ww,212,1.74,9.62,,,,4/29/2019
1002295,COS9-0932,2013,1,7/10/2013,40.89838315,-105.3801509,-782567.899,419478.421,West,Western Mountains,Lower Missouri Region,Missouri Region,,Region_8,LargeStreams,Private,Target_Sampled,CO_Streams_CO_4th,Base_09Stream,Include,CO,Target,NonUrban,1,294.6658082,None,624.87,4.01,7.83,Good,73.1,Fair,223,Poor,59,Good,50.73,1.049221496,O/E>=0.9,Good,-0.33939321,Fair,-0.550334511,Moderate,0.856077273,Good,-0.089084675,Fair,65.91,762.9549498,Below Human Health Threshold,<= 8 ug/L,0.233,,,,Not Assessed,141,1.62,8.96,,OW_1,Reason for setting as Not Assessed: Exclude - unknown length,4/29/2019
1002296,MILS-1059,2013,1,7/10/2013,42.32681,-86.13682,806164.4,582548.5,Plains and Lowlands,Upper Midwest,,Great Lakes Region,,Region_5,LargeStreams,Private,Target_Sampled,MI_LargeStreams_UMW,Base_NewLargeStreams,Include,MI,Target,NonUrban,1,717.7712196,None,4136.78,6.06,8.24,Good,477,Poor,1079,Poor,106,Fair,22.72,1.22961785,O/E>=0.9,Good,-0.300241086,Fair,-1.843711307,Moderate,0.371218182,Good,0.130260649,Fair,30.81,835.0148343,Below Human Health Threshold,<= 8 ug/L,0.172,,,,Exceeds 300 ng Hg/g ww,951,6.79,37.6,,,,4/29/2019
1002297,SDLS-1114,2013,1,7/10/2013,44.06162,-103.6927,-613541.4,759250.3,West,Western Mountains,Upper Missouri Region,Missouri Region,West,Region_8,LargeStreams,USFS,Target_Sampled,SD_LargeStreams_WMT,Base_NewLargeStreams,Include,SD,Target,NonUrban,1,185.8126338,None,3892.54,1.78,7.82,Good,426,Fair,185,Fair,30,Poor,9.7,0.843536577,O/E<0.9,Good,-0.229482704,Poor,-1.678387342,Moderate,0.393959091,Good,0.023439534,Poor,0,300.5340748,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002298,TXRM-1011,2013,1,7/10/2013,31.73042,-99.93923,-371593.2,-637331.5,Plains and Lowlands,Southern Plains,,Rio Grande-Texas-Gulf Region,,Region_6,RiversMajor,Private,Target_Sampled,TX_RiversMajor_SPL,Base_NewRiversMajor,Include,TX,Target,NonUrban,1,188.9677364,None,2619.89,4.58,8.18,Good,884,Fair,861,Fair,114,Good,36.52,0.660483985,O/E<0.8,Good,-0.480888271,Good,0.909311468,Low,0.242436364,Good,-0.279089322,Poor,31.27,94.70284932,Below Human Health Threshold,<= 8 ug/L,0.287,,,,Does Not Exceed 300 ng Hg/g ww,88.4,1.72,9.51,,,,4/29/2019
1002299,WIS9-0923,2013,1,7/10/2013,43.14323,-91.02181,402658.6,642463.4,Plains and Lowlands,Upper Midwest,Upper Mississippi Region,Upper Mississippi Region,,Region_5,SmallStreams,Private,Target_Sampled,WI_Streams_WI_1st,Base_09Stream_RVT,Include,WI,Target,NonUrban,1,1953.563369,None,6254.366,1.8,8.46,Fair,639,Poor,6920,Poor,74.3,Fair,25.02,0.563920581,O/E<0.8,Good,-0.375342947,Good,-0.853385901,Moderate,1.3334,Good,-0.065501549,Not Assessed,,1182.795235,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002300,IDR9-0910,2013,1,7/9/2013,44.39606896,-116.0460788,-1580892.88,939040.097,West,Western Mountains,,Pacific Northwest Region,,Region_10,RiversOther,Private,Target_Sampled,ID_Rivers_ID_5th+,Base_09River,Include,ID,Target,NonUrban,1,162.6858882,None,284.36,2.5,7.12,Good,34.9,Poor,428,Fair,41,Poor,10.08,0.521306267,O/E<0.8,Good,-0.198783445,Good,0.234440105,Moderate,0.401522727,Good,-0.111463125,Poor,63.6,1015.202206,Below Human Health Threshold,<= 8 ug/L,0.198,,,,Does Not Exceed 300 ng Hg/g ww,50.7,2.43,13.4,H,LAB_1,This sample was analyzed outside of the recommended holding time.,4/29/2019
1002303,IDRO-1030,2013,1,7/10/2013,44.03468,-116.917,-1657285,914526.5,West,Xeric,,Pacific Northwest Region,,Region_10,RiversOther,Private,Target_Sampled,ID_RiversOther_XER,Base_NewRiversOther,Include,ID,Target,Urban,1,59.92042693,None,1326.8,2.32,8.08,Good,154.7,Poor,860,Poor,164,Fair,55.77,0.745036698,O/E<0.8,Good,-0.958607315,Good,0.166864635,High,2.242472727,Good,-0.004065808,Fair,66.46,1255.426737,Below Human Health Threshold,<= 8 ug/L,0.159,,,,Exceeds 300 ng Hg/g ww,335,1.74,9.65,,,,4/29/2019
1002304,WAR9-0901,2013,1,7/9/2013,48.95608,-119.6933,-1738426,1494450,West,Xeric,,Pacific Northwest Region,,Region_10,RiversOther,Private,Target_Sampled,WA_Rivers_WA_5th+,Base_09River_RVT,Include,WA,Target,NonUrban,2,282.1321454,None,932.7,3.31,7.89,Good,117.7,Good,155,Good,42,Good,71.42,1.017953544,O/E>=0.9,Fair,-1.132907664,Good,0.272789797,Moderate,0.500018182,Good,-0.312227896,Good,91.97,357.4842138,Below Human Health Threshold,<= 8 ug/L,0.119,,0.15,L,Does Not Exceed 300 ng Hg/g ww,281,2.72,15.1,H,LAB_1,This sample was analyzed outside of the recommended holding time.,4/29/2019
1002305,MTS9-0923,2013,1,7/10/2013,45.83769,-110.0458,-1088275,1012624,Plains and Lowlands,Northern Plains,Upper Missouri Region,Missouri Region,,Region_8,LargeStreams,Private,Target_Sampled,MT_Streams_MT_3rd,Base_09Stream_RVT,Include,MT,Target,NonUrban,2,191.3309359,None,3506.67,1.83,8.45,Good,348,Good,301,Fair,102,Good,72.68,1.234162104,O/E>=0.9,Fair,-0.771879741,Poor,-3.416492307,High,1.901531818,Fair,-0.83456681,Good,55.15,570.4292007,Below Human Health Threshold,<= 8 ug/L,0.193,,,,Does Not Exceed 300 ng Hg/g ww,106,1.76,9.77,,,,4/29/2019
1002306,CTS9-0917,2013,1,7/10/2013,41.39886615,-73.38664778,1858665.282,659045.576,Eastern Highlands,Northern Appalachians,,New England Region,,Region_1,SmallStreams,Private,Target_Sampled,CT_Streams_CMMRV_1s,Base_09Stream,Include,CT,Target,Urban,1,706.9096702,None,1853.97,6.71,7.82,Good,254,Poor,1296,Poor,108,Poor,39.68,0.557359729,O/E<0.8,Good,-0.438248312,Good,-0.334066646,Moderate,1.189431818,Good,0.137871779,Fair,49.59,16869.6994,Above Human Health Threshold,<= 8 ug/L,0.145,,0.15,L,Not Assessed,90.6,1.7,9.43,,OW_1,Reason for setting as Not Assessed: Exclude - non-target species and does not meet length criterion,4/29/2019
1002307,DES9-0912,2013,1,7/10/2013,39.8061351,-75.46540517,1728858.307,445982.813,Eastern Highlands,Southern Appalachians,,Mid-Atlantic Region,,Region_3,SmallStreams,Private,Target_Sampled,DE_Streams_DE_2nd3r,Base_09Stream_RVT,Include,DE,Target,Urban,2,162.3147753,None,1007.35,4.22,7.84,Good,212,Poor,944,Poor,92,Poor,16.73,0.613031348,O/E<0.8,Good,-0.30819542,Good,0.274652864,High,2.387454978,Fair,-0.213861874,Poor,47.71,3225.980243,Above Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,157,1.63,9.03,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002308,RISS-1083,2013,1,7/10/2013,41.60442,-71.49621,2004858,719777.8,Eastern Highlands,Northern Appalachians,,New England Region,,Region_1,SmallStreams,Private,Target_Sampled,RI_SmallStreams_NAP,Base_NewSmallStreams,Include,RI,Target,Urban,1,23.08819479,None,113.81,4.61,6.88,Good,93.9,Poor,844,Poor,53,Good,59.43,1.017183243,O/E>=0.9,Good,-0.432866652,Fair,-0.831461842,Moderate,1.454568182,Good,0.047540356,Fair,51.25,2359.561454,Above Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002310,ARLS-1047,2013,1,6/26/2013,35.56233,-93.28855,243604.1,-213577,Eastern Highlands,Southern Appalachians,Arkansas-White-Red Region,Arkansas-White-Red Region,East,Region_6,LargeStreams,USFS,Target_Sampled,AR_LargeStreams_SAP,Base_NewLargeStreams,Include,AR,Target,NonUrban,1,2448.70156,None,152,1.2853,,Good,27.97,Good,179,Good,10,Good,48.78,1.041241301,O/E>=0.9,Good,-0.771879741,Good,0.529943603,Moderate,0.462136364,Good,0.19217449,Not Assessed,,2236.941096,Above Human Health Threshold,<= 8 ug/L,0.107,,0.15,L,Not Assessed,,,,,,,4/29/2019
1002311,GAS9-0917,2013,1,7/11/2013,33.31357506,-84.17306649,1091178.051,-400501.806,Eastern Highlands,Southern Appalachians,,South-Atlantic Region,,Region_4,LargeStreams,Private,Target_Sampled,GA_Streams_GA_4th5t,Base_09Stream,Include,GA,Target,NonUrban,1,775.7044601,None,446.21,2.01,7.43,Good,64.3,Fair,338,Poor,61,Poor,21.95,0.547652452,O/E<0.8,Good,-0.131035128,Poor,-1.658576156,Low,0,Good,0.226892695,Poor,47.61,887.7474703,Below Human Health Threshold,<= 8 ug/L,0.171,,,,Not Assessed,61.5,1.93,10.7,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
